"POINT";"dist"
1;1727.49456910095
2;271.7916278279
3;1150.00745593413
4;2223.22608222973
5;2233.23180861161
6;6334.8673994698
7;3477.58062547502
8;142.65056541508
9;612.652006250199
10;1533.22875415962
11;5405.72568762625
12;1627.18200333624
13;969.113217283985
14;1245.22478337429
15;4159.7782935018
16;344.465701244659
